student_id,total_classes,classes_attended,recent_absences,attendance_trend,at_risk
S001,40,38,1,1,0
S002,40,30,5,-2,1
S003,50,35,3,-1,1
S004,50,45,2,1,0
S005,60,42,7,-3,1
S006,60,55,1,2,0
S007,30,20,6,-4,1
S008,30,28,1,1,0
S009,45,32,5,-2,1
S010,45,40,2,1,0
S011,55,38,6,-3,1
S012,55,50,1,2,0
S013,35,22,8,-5,1
S014,35,30,2,0,0
S015,48,43,2,1,0
S016,48,33,7,-4,1
S017,52,46,2,1,0
S018,52,36,6,-3,1
S019,42,38,1,2,0
S020,42,28,8,-5,1
S021,38,35,1,1,0
S022,38,26,6,-3,1
S023,65,58,2,2,0
S024,65,45,8,-4,1
S025,70,63,1,2,0
S026,70,48,10,-6,1
S027,33,30,1,1,0
S028,33,22,6,-4,1
S029,58,52,2,1,0
S030,58,40,7,-4,1
S031,44,40,1,2,0
S032,44,30,7,-4,1
S033,36,28,3,-1,1
S034,36,33,1,1,0
S035,62,55,2,1,0
S036,62,43,8,-5,1
S037,47,42,2,1,0
S038,47,32,7,-4,1
S039,53,48,2,1,0
S040,53,37,8,-5,1
S041,41,37,1,2,0
S042,41,27,8,-5,1
S043,39,30,4,-2,1
S044,39,37,1,1,0
S045,57,51,2,1,0
S046,57,39,8,-5,1
S047,43,39,1,2,0
S048,43,29,7,-4,1
S049,49,44,2,1,0
S050,49,34,8,-5,1
S051,46,42,1,2,0
S052,46,32,7,-4,1
S053,54,49,2,1,0
S054,54,38,8,-5,1
S055,37,34,1,1,0
S056,37,25,7,-4,1
S057,63,57,2,1,0
S058,63,44,9,-5,1
S059,40,36,2,0,0
S060,40,27,8,-5,1
S061,44,40,2,1,0
S062,44,31,7,-4,1
S063,50,46,1,2,0
S064,50,35,8,-5,1
S065,60,54,2,1,0
S066,60,42,9,-6,1
S067,35,32,1,1,0
S068,35,24,6,-3,1
S069,45,41,1,2,0
S070,45,31,7,-4,1
S071,55,50,2,1,0
S072,55,38,9,-6,1
S073,30,27,1,1,0
S074,30,21,6,-3,1
S075,48,44,2,1,0
S076,48,34,8,-5,1
S077,52,47,2,1,0
S078,52,36,9,-6,1
S079,42,38,1,1,0
S080,42,29,8,-5,1
S081,38,35,1,2,0
S082,38,27,7,-4,1
S083,65,59,2,1,0
S084,65,46,10,-7,1
S085,70,64,1,2,0
S086,70,50,11,-8,1
S087,33,30,1,1,0
S088,33,23,6,-3,1
S089,58,53,2,1,0
S090,58,41,8,-5,1
S091,44,40,2,1,0
S092,44,31,7,-4,1
S093,36,33,1,1,0
S094,36,25,6,-3,1
S095,62,56,2,1,0
S096,62,44,9,-6,1
S097,47,43,1,2,0
S098,47,33,8,-5,1
S099,53,48,2,1,0
S100,53,38,9,-6,1
